run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
20	345	496.8	115.138665	0.176561	[379.80,226.80,220.00,496.80,437.20,496.80]	[0,0,0,1,3,4,4,4,4,0,1,1,4,2,0,2,4,0,3,4,4,5,5,5]	[0,0,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	346	525	101.225601	0.172608	[294.20,327.40,251.80,361.60,525.00,496.80]	[0,0,1,2,2,3,3,3,3,0,0,1,3,1,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	347	525	107.261575	0.171376	[375.10,247.40,251.80,359.50,525.00,496.80]	[0,0,1,2,2,3,3,3,3,0,0,0,3,1,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	348	525	129.803857	0.165871	[354.80,267.40,160.00,449.50,525.00,496.80]	[0,0,1,3,3,3,3,3,3,0,0,1,3,1,0,2,3,1,4,4,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	349	525	107.945286	0.169812	[355.10,314.50,206.80,359.50,525.00,496.80]	[0,0,1,1,2,3,3,3,3,0,0,1,3,0,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	350	521.8	117.351007	0.175276	[248.00,416.80,206.80,521.80,366.00,496.80]	[0,0,0,1,2,4,4,4,4,0,1,1,3,1,1,2,3,1,3,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	351	525	106.866578	0.171465	[292.70,266.20,266.80,404.50,525.00,496.80]	[0,0,1,2,3,3,3,3,3,0,0,1,3,2,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	352	496.8	91.413614	0.178666	[264.80,309.80,300.00,486.80,403.40,496.80]	[0,0,1,1,1,4,4,4,4,0,1,2,4,2,1,2,3,0,3,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	353	525	129.878256	0.165861	[355.10,266.20,160.00,448.60,525.00,496.80]	[0,0,1,3,3,3,3,3,3,0,0,1,3,0,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	354	525	105.215151	0.171648	[319.50,333.60,220.00,358.60,525.00,496.80]	[0,0,0,1,1,3,3,3,3,0,1,1,3,2,1,2,3,0,4,4,4,5,5,5]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
