run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
14	9	566	131.646378	0.167168	[566.00,315.40,450.00,193.90,254.50,480.00]	[0,3,3,4,4,4,4,0,3,0,1,1,1,5,1,0,0,4,2,0,3,5,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	10	624.2	226.984329	0.160967	[392.80,125.00,35.00,622.80,624.20,460.00]	[0,3,4,0,0,0,1,3,4,0,0,4,0,3,3,3,3,1,4,3,2,5,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	11	1062.8	374.806877	0.160396	[404.50,40.00,55.00,1062.80,624.80,71.80]	[0,4,2,4,0,3,3,3,5,0,3,3,0,3,4,0,3,3,4,1,5,3,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	1	485	81.531971	0.172932	[298.00,485.00,260.10,349.20,402.70,460.00]	[2,2,0,0,3,3,3,0,2,4,2,3,4,4,3,4,0,3,1,4,1,5,5,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	2	485	91.70257	0.169113	[334.20,295.40,475.00,425.40,241.50,485.00]	[1,0,3,4,0,4,2,4,1,3,3,3,3,0,1,0,1,1,5,3,5,2,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	3	533.6	163.372485	0.167669	[533.60,255.10,450.00,531.20,411.30,76.20]	[0,4,3,1,0,5,3,4,4,1,1,0,1,0,0,0,0,4,2,4,0,3,5,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	4	568.4	181.19962	0.162954	[568.40,450.00,35.00,439.80,250.00,511.20]	[3,3,5,4,4,5,0,4,0,0,3,3,0,0,3,0,0,0,1,0,3,5,3,2]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	1	486.8	138.815965	0.191908	[111.50,477.20,448.30,460.00,486.80,271.80]	[2,0,2,0,2,2,1,1,5,5,1,1,4,2,5,2,1,5,4,3,2,3,1,5]	[0,1,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	2	491.8	93.265507	0.177769	[491.80,386.80,228.60,348.30,313.60,486.80]	[3,1,3,1,4,4,1,3,5,2,4,2,0,1,4,1,3,4,5,2,2,0,3,0]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	3	505	98.353151	0.176807	[374.00,505.00,236.20,493.30,368.60,286.30]	[5,2,5,4,0,3,1,4,3,2,2,0,5,0,5,4,0,0,1,0,5,3,5,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	4	505	143.979957	0.169771	[313.60,493.60,414.50,446.00,505.00,86.80]	[0,3,2,3,5,3,4,2,1,3,0,3,2,0,0,2,0,3,4,5,3,1,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	5	506.8	121.136819	0.173031	[506.80,136.20,441.60,439.60,319.80,420.00]	[0,1,4,2,4,2,4,4,3,3,2,3,2,2,3,2,3,1,0,3,3,5,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	6	510	103.439522	0.173479	[351.00,510.00,486.20,303.60,209.50,398.60]	[3,4,0,4,3,2,1,3,4,0,5,0,5,5,4,5,0,0,2,5,1,1,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	7	518.6	125.452613	0.171832	[374.50,416.30,258.30,178.60,518.60,516.20]	[1,5,2,1,0,1,1,2,4,0,0,0,3,4,1,1,3,3,5,0,3,4,2,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	8	520	104.824527	0.16925	[346.30,520.00,466.80,278.60,429.00,221.80]	[0,0,3,0,2,3,4,5,4,3,0,3,4,4,5,4,4,1,1,0,3,2,4,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	9	521.2	102.082	0.175474	[503.60,379.20,521.20,306.60,263.30,288.60]	[3,4,1,5,0,2,1,5,4,3,3,5,0,4,4,1,1,1,2,4,2,0,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	10	523.3	143.752631	0.168611	[521.20,314.50,523.30,494.00,246.20,160.00]	[3,2,4,3,3,1,4,1,2,0,3,1,3,4,3,5,3,3,0,4,4,2,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	11	526.8	87.711965	0.180871	[526.80,310.10,360.40,273.60,333.30,456.80]	[3,4,1,2,2,5,1,1,4,2,2,3,3,3,2,4,1,4,0,3,2,5,0,0]	[0,1,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	12	531.8	151.584648	0.164381	[419.30,308.60,80.00,411.90,531.80,511.20]	[3,0,3,1,4,5,5,3,0,0,1,2,3,0,3,1,4,0,4,0,0,5,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	13	570	135.374843	0.167198	[414.50,456.20,570.00,402.20,151.80,260.00]	[3,3,3,4,0,1,3,0,3,0,0,2,0,3,5,5,3,4,2,2,4,1,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	14	575.4	99.899023	0.172509	[343.00,575.40,263.60,336.80,321.90,420.00]	[4,0,4,1,4,2,2,3,3,2,2,0,3,4,4,0,0,3,1,4,3,5,1,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	15	608.3	203.967386	0.163156	[584.00,238.00,486.80,608.30,306.80,35.00]	[0,0,3,4,1,0,0,0,2,1,4,1,3,3,0,4,0,0,2,0,5,3,1,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	16	641.8	237.160499	0.162929	[406.00,565.00,76.80,532.20,641.80,35.00]	[0,0,0,0,0,0,1,4,3,3,0,3,3,1,4,3,3,3,1,3,5,4,2,2]	[0,1,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	17	870	279.653049	0.162144	[393.30,138.60,870.00,591.60,161.80,100.00]	[0,0,3,1,4,3,1,3,0,0,5,4,4,3,0,3,3,0,2,3,0,2,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	1	477.2	107.046788	0.185482	[450.00,351.90,153.60,408.60,420.00,477.20]	[1,1,5,5,1,1,2,3,1,3,3,5,3,5,2,5,2,1,0,1,5,4,3,5]	[0,1,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	2	486.2	83.755446	0.173344	[376.80,244.20,394.50,298.60,455.00,486.20]	[3,2,1,3,1,5,0,2,0,2,1,0,3,0,2,3,2,0,5,0,4,4,1,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	3	490	81.007045	0.182063	[490.00,251.80,378.40,309.50,375.40,456.80]	[3,2,3,3,4,4,1,1,5,2,2,3,2,2,4,4,4,3,0,0,1,5,2,4]	[0,0,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	4	491.2	133.548427	0.173218	[486.80,228.60,155.00,436.60,461.00,491.20]	[1,3,3,4,3,4,4,3,1,5,1,2,0,4,4,4,1,3,0,4,2,5,2,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	5	496.8	109.197767	0.172045	[496.80,198.60,450.00,485.20,294.20,338.60]	[3,3,4,1,3,5,1,3,1,5,5,3,0,1,5,4,3,5,2,4,3,0,0,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	6	506.8	145.894479	0.170314	[413.40,506.80,326.20,431.30,80.00,502.70]	[1,0,2,4,5,5,0,3,0,3,3,0,0,3,0,2,3,2,1,0,0,5,2,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	7	516.2	87.470803	0.17088	[284.20,442.20,420.00,308.60,292.50,516.20]	[4,5,4,4,3,4,0,1,1,0,1,0,1,4,3,3,0,1,5,3,4,2,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	8	516.8	131.410878	0.169417	[427.20,355.40,115.00,516.80,357.40,486.80]	[3,1,4,0,0,1,2,0,0,4,1,1,0,2,0,4,5,4,5,0,1,3,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	9	522.7	148.855561	0.169044	[481.80,125.00,522.70,351.50,251.30,521.20]	[3,2,3,0,3,4,1,3,4,5,4,0,4,0,0,0,3,1,5,4,0,2,0,2]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	10	556.2	141.515578	0.167554	[226.80,228.30,556.20,533.10,450.00,260.00]	[0,1,2,3,3,3,1,3,3,3,3,2,1,0,5,5,0,1,4,0,0,2,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	11	573.7	203.814887	0.166559	[558.60,433.00,91.20,573.70,503.60,100.00]	[1,3,3,4,1,2,2,3,3,1,1,3,0,3,5,1,0,3,0,3,4,4,5,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	12	598.6	163.339592	0.167255	[425.20,70.00,450.00,293.60,423.00,598.60]	[4,0,0,3,3,0,0,3,4,4,4,5,0,5,0,4,0,1,2,3,0,5,0,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	13	606	170.665781	0.165883	[606.00,357.80,510.00,471.60,157.40,160.00]	[1,3,4,3,3,0,1,5,0,1,1,3,3,2,4,3,3,0,2,4,1,0,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	14	616.1	219.137251	0.163827	[616.10,336.80,486.80,615.00,168.00,35.00]	[4,4,0,4,0,5,3,0,0,0,0,1,0,1,3,1,2,0,2,3,0,3,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	15	685.4	267.5231	0.162966	[656.00,685.40,160.00,579.60,143.00,40.00]	[1,3,0,4,1,4,3,3,1,3,0,3,0,4,1,2,3,3,1,0,1,0,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	16	868.1	273.517479	0.159087	[868.10,148.30,420.00,534.30,253.60,40.00]	[4,0,3,3,3,3,3,0,1,1,3,0,4,3,3,4,0,0,0,1,3,2,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
