run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
11	11	496.8	124.999792	0.169937	[496.80,378.60,420.00,461.80,383.30,111.80]	[3,1,4,3,0,1,3,1,3,5,3,1,4,4,3,4,3,4,0,5,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	12	466.8	100.67228	0.175884	[450.00,315.40,466.80,421.80,424.50,178.60]	[3,5,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,4,1,2,5,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	13	466.8	80.401418	0.177835	[450.00,315.40,466.80,408.60,383.30,233.60]	[5,5,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,5,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	14	466.8	139.616909	0.171874	[450.00,378.60,466.80,461.80,423.30,70.00]	[3,1,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,4,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	15	466.8	85.413551	0.177095	[450.00,315.40,466.80,421.80,384.50,220.40]	[3,5,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,5,1,2,5,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	16	466.8	119.154555	0.173462	[450.00,315.40,466.80,461.80,424.50,135.00]	[3,5,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,4,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	17	496.8	105.517367	0.171525	[496.80,313.60,420.00,461.80,383.30,178.60]	[3,5,4,3,0,1,3,1,3,5,3,1,4,4,3,4,3,4,0,5,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	18	466.8	103.112761	0.174673	[450.00,315.40,466.80,461.80,384.50,178.60]	[3,5,4,3,2,1,3,1,3,5,3,1,4,4,3,4,3,4,0,5,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	19	496.8	103.056205	0.172736	[496.80,313.60,420.00,421.80,423.30,178.60]	[3,5,4,3,0,1,3,1,3,5,3,1,4,4,3,4,3,4,0,4,1,2,5,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
11	20	496.8	121.102469	0.170313	[496.80,315.40,420.00,461.80,424.50,135.00]	[3,5,4,3,0,1,3,1,3,5,3,1,4,4,3,4,3,4,0,4,1,2,3,3]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	1	562.7	185.936536	0.170519	[562.70,546.80,136.80,551.30,309.80,150.00]	[1,4,3,3,4,0,3,3,1,3,2,5,0,4,4,3,2,5,0,0,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	2	486.8	102.196717	0.183553	[486.80,476.80,291.60,471.80,271.00,262.40]	[1,4,3,2,4,2,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,5,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	3	587.7	169.000036	0.173298	[522.70,511.80,173.60,587.70,271.00,190.00]	[1,4,3,3,4,0,3,3,2,3,2,5,0,4,4,3,2,5,0,3,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	4	486.8	105.319366	0.182342	[486.80,476.80,291.60,471.80,311.00,222.40]	[1,4,3,2,4,2,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,4,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	5	564.2	173.016207	0.172086	[564.20,511.80,173.60,547.70,311.00,150.00]	[1,4,3,3,4,0,3,3,2,3,2,5,0,4,4,3,2,5,0,0,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	6	546.8	160.891293	0.17331	[522.70,546.80,218.60,518.60,309.80,141.20]	[1,4,3,3,4,0,3,3,1,5,2,2,0,4,4,3,2,5,0,3,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	7	516.8	120.617987	0.179193	[486.80,476.80,244.80,516.80,311.00,222.40]	[1,4,3,3,4,2,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,4,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	8	522.7	130.212652	0.178026	[522.70,511.80,218.60,471.80,311.00,222.40]	[1,4,3,2,4,0,3,3,1,5,2,5,0,4,4,3,2,5,0,3,4,1,4,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	9	522.7	133.757248	0.176445	[522.70,476.80,208.60,516.80,311.00,222.40]	[1,4,3,3,4,0,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,4,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	10	508.6	115.497037	0.180985	[486.20,476.80,253.60,508.60,243.60,288.60]	[1,5,3,2,4,0,3,3,2,5,2,5,3,4,4,3,2,5,0,3,4,1,4,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	11	511.8	114.075277	0.181986	[486.80,511.80,256.60,471.80,271.00,262.40]	[1,4,3,2,4,2,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	12	550.1	172.729757	0.173268	[526.80,546.80,172.70,550.10,309.80,150.00]	[1,4,3,3,4,2,3,3,1,3,2,5,0,4,4,3,2,5,0,0,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
