run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
13	12	482.7	87.953291	0.172083	[456.80,288.00,450.00,482.70,287.20,290.00]	[3,3,1,4,3,4,4,1,1,4,5,3,3,5,5,3,0,5,2,3,4,0,4,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	13	482.7	104.716831	0.170841	[456.80,288.00,450.00,482.70,384.20,190.00]	[3,3,1,4,3,4,4,1,1,4,4,3,3,5,5,3,0,5,2,3,4,0,4,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	14	450	92.626426	0.173989	[420.00,323.00,450.00,427.70,439.20,190.00]	[4,3,1,4,3,4,4,1,1,4,4,3,3,5,5,3,1,5,2,3,4,0,4,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	1	456.8	118.123642	0.172317	[429.80,399.50,116.80,456.80,409.00,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,4,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	2	552.7	145.52297	0.168128	[498.00,288.60,116.80,552.70,350.40,450.00]	[1,0,3,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	3	456.8	79.898152	0.175961	[388.00,399.50,218.60,456.80,347.20,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,2,0,4,3,2,5,1,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	4	566.8	106.45133	0.170542	[403.10,228.60,566.80,295.10,350.40,420.00]	[1,0,3,0,2,0,4,3,4,0,1,0,1,4,0,4,3,2,2,3,1,5,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	5	458	87.816673	0.174369	[458.00,331.90,218.60,456.80,347.20,450.00]	[4,0,1,0,2,0,4,1,4,0,0,0,1,2,0,4,3,2,5,1,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	6	496.8	112.325515	0.171937	[458.00,344.50,158.60,496.80,350.40,450.00]	[1,0,1,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,3,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	7	512.7	106.711643	0.172152	[429.20,347.20,176.80,512.70,347.20,450.00]	[4,0,3,0,2,0,4,1,4,1,0,0,1,2,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
